Education,Marital_Status,Income,Recency,wines,fruits,meat,fist,sweets,golds,DealsPurchases,onlinePurchases,CatalogPurchases,StorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,month_enroll,year_enroll,Generation,Age,Childrens,Compaigns_Engagement,Income_to_Spending_Ratio
Postgraduate,Partner,76995.0,91.0,1012.0,79.5,498.0,0.0,16.0,126.5,2.0,11.0,4.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,3.0,2013.0,Baby Boomers,76.0,1.0,0.0,43.207070707070706
Postgraduate,Alone,33812.0,86.0,4.0,17.0,19.0,30.0,24.0,39.0,2.0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,11.0,2013.0,Millennials,40.0,1.0,0.0,254.22556390977442
Undergraduate,Partner,37040.0,41.0,86.0,2.0,73.0,69.0,38.0,48.0,1.0,4.0,2.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,8.0,2013.0,Millennials,43.0,0.0,0.0,117.21518987341773
Undergraduate,Partner,2447.0,42.0,1.0,1.0,556.625,1.0,1.0,1.0,6.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1.0,2013.0,Gen X,46.0,1.0,0.0,1.414450867052023
PhD,Partner,58607.0,63.0,867.0,0.0,86.0,0.0,0.0,19.0,3.0,2.0,3.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,12.0,2013.0,Baby Boomers,76.0,1.0,0.0,60.29526748971193
PhD,Partner,65324.0,0.0,384.0,0.0,102.0,21.0,32.0,5.0,3.0,6.0,2.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1.0,2013.0,Baby Boomers,71.0,1.0,0.0,120.08088235294117
Undergraduate,Partner,40689.0,69.0,270.0,3.0,27.0,39.0,6.0,99.0,6.0,7.0,1.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,3.0,2013.0,Baby Boomers,74.0,1.0,0.0,91.64189189189189
Undergraduate,Alone,18589.0,89.0,6.0,4.0,25.0,15.0,12.0,13.0,2.0,2.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1.0,2013.0,Gen X,56.0,0.0,0.0,247.85333333333332
Undergraduate,Partner,53359.0,4.0,173.0,4.0,30.0,3.0,6.0,41.0,4.0,5.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,5.0,2013.0,Gen X,49.0,2.0,0.0,207.6225680933852
Undergraduate,Partner,38360.0,26.0,36.0,2.0,42.0,20.0,21.0,10.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,5.0,2013.0,Millennials,36.0,1.0,0.0,292.82442748091603
PhD,Partner,84618.0,96.0,684.0,79.5,556.625,21.0,66.0,0.0,1.0,6.0,9.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,11.0,2013.0,Gen X,60.0,0.0,0.0,50.60885167464115
Postgraduate,Alone,10979.0,34.0,8.0,4.0,10.0,2.0,2.0,4.0,2.0,3.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,5.0,2013.0,Millennials,36.0,0.0,0.0,365.96666666666664
Postgraduate,Partner,38620.0,56.0,112.0,17.0,44.0,34.0,22.0,89.0,1.0,2.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,5.0,2013.0,Baby Boomers,62.0,0.0,0.0,121.44654088050315
Undergraduate,Partner,40548.0,31.0,110.0,0.0,5.0,2.0,0.0,3.0,2.0,2.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,10.0,2013.0,Gen X,55.0,1.0,0.0,337.9
PhD,Alone,46610.0,8.0,96.0,12.0,96.0,33.0,22.0,43.0,6.0,4.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,10.0,2013.0,Baby Boomers,73.0,2.0,0.0,154.33774834437085
Postgraduate,Partner,68657.0,4.0,482.0,34.0,471.0,119.0,68.0,22.0,1.0,3.0,5.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,2.0,2013.0,Baby Boomers,79.0,0.0,0.0,57.40551839464883
Postgraduate,Alone,49389.0,55.0,40.0,0.0,19.0,2.0,1.0,3.0,1.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,8.0,2013.0,Baby Boomers,74.0,2.0,0.0,759.8307692307692
PhD,Partner,67353.0,37.0,702.0,17.0,151.0,0.0,8.0,35.0,5.0,5.0,6.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,12.0,2013.0,Gen X,55.0,1.0,0.0,73.7710843373494
Postgraduate,Partner,23718.0,76.0,6.0,3.0,14.0,15.0,7.0,36.0,3.0,3.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,9.0,2013.0,Gen X,49.0,1.0,0.0,292.81481481481484
Undergraduate,Alone,42429.0,99.0,55.0,0.0,6.0,2.0,0.0,4.0,2.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,2.0,2013.0,Gen X,52.0,1.0,0.0,633.2686567164179
PhD,Alone,48948.0,53.0,437.0,8.0,206.0,120.5,49.0,42.0,2.0,7.0,10.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,2.0,2013.0,Silent Generation,82.0,0.0,0.0,54.26607538802661
Undergraduate,Partner,80011.0,3.0,421.0,76.0,536.0,82.0,81.0,102.0,2.0,8.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,4.0,2013.0,Gen X,45.0,1.0,0.0,57.355555555555554
Postgraduate,Partner,20559.0,88.0,13.0,1.0,29.0,3.0,0.0,7.0,2.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,3.0,2013.0,Millennials,40.0,1.0,0.0,387.9056603773585
Undergraduate,Partner,21994.0,4.0,9.0,0.0,6.0,3.0,1.0,3.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,12.0,2013.0,Baby Boomers,68.0,1.0,0.0,969.270749587855
Postgraduate,Partner,7500.0,19.0,3.0,1.0,10.0,3.0,2.0,12.0,3.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,10.0,2013.0,Gen X,50.0,1.0,0.0,241.93548387096774
Undergraduate,Alone,79941.0,72.0,123.0,79.5,266.0,120.5,30.0,126.5,1.0,2.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,6.0,2013.0,Gen X,49.0,0.0,0.0,81.24085365853658
Postgraduate,Partner,7500.0,24.0,3.0,18.0,14.0,15.0,22.0,50.0,3.0,3.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,11.0,2013.0,Millennials,29.0,0.0,0.0,61.47540983606557
Undergraduate,Partner,41728.0,92.0,13.0,6.0,15.0,3.0,5.0,13.0,1.0,2.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,5.0,2013.0,Gen X,57.0,1.0,0.0,758.6909090909091
PhD,Partner,72550.0,39.0,826.0,50.0,317.0,50.0,38.0,38.0,6.0,5.0,2.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,11.0,2013.0,Baby Boomers,71.0,2.0,0.0,55.00379075056861
Undergraduate,Alone,65486.0,29.0,245.0,19.0,125.0,37.0,67.0,14.0,1.0,4.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,5.0,2013.0,Baby Boomers,68.0,1.0,0.0,129.16370808678502
Postgraduate,Partner,79143.0,2.0,650.0,37.0,556.625,27.0,81.0,32.0,1.0,6.0,9.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,8.0,2013.0,Baby Boomers,61.0,0.0,0.0,46.74719432959244
Undergraduate,Alone,35790.0,54.0,12.0,6.0,20.0,30.0,1.0,3.0,2.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1.0,2013.0,Gen X,48.0,1.0,0.0,497.0833333333333
Undergraduate,Alone,82582.0,54.0,510.0,79.5,550.0,120.5,40.0,126.5,1.0,4.0,9.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,6.0,2013.0,Gen X,48.0,0.0,0.0,51.07111935683364
Undergraduate,Partner,66373.0,57.0,328.0,9.0,124.0,12.0,24.0,109.0,6.0,4.0,2.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,6.0,2013.0,Gen X,47.0,2.0,0.0,109.52640264026402
Postgraduate,Partner,82384.0,55.0,984.0,51.0,432.0,120.5,81.0,126.5,1.0,3.0,10.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,11.0,2013.0,Baby Boomers,70.0,0.0,0.0,42.09708737864078
Undergraduate,Alone,70287.0,30.0,295.0,35.0,482.0,120.5,81.0,40.0,1.0,5.0,5.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,4.0,2013.0,Gen X,59.0,0.0,0.0,64.30649588289113
Undergraduate,Alone,27938.0,31.0,13.0,0.0,8.0,2.0,1.0,5.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,4.0,2013.0,Millennials,37.0,1.0,0.0,963.3793103448276
PhD,Partner,55954.0,63.0,447.0,0.0,28.0,0.0,0.0,43.0,3.0,8.0,2.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,3.0,2013.0,Gen X,57.0,1.0,0.0,108.01930501930502
Postgraduate,Alone,75777.0,12.0,712.0,26.0,538.0,69.0,13.0,80.0,1.0,3.0,6.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,7.0,2013.0,Millennials,43.0,0.0,0.0,52.69610570236439
Undergraduate,Partner,66653.0,18.0,452.0,18.0,102.0,16.0,18.0,6.0,4.0,4.0,2.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,9.0,2013.0,Gen X,50.0,2.0,0.0,108.91013071895425
Undergraduate,Alone,61823.0,26.0,523.0,7.0,134.0,37.0,14.0,126.5,4.0,8.0,2.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,2.0,2013.0,Baby Boomers,73.0,1.0,0.0,69.93552036199095
PhD,Alone,67680.0,8.0,546.0,0.0,48.0,0.0,6.0,6.0,1.0,7.0,3.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,6.0,2013.0,Baby Boomers,74.0,1.0,0.0,111.68316831683168
Undergraduate,Partner,70666.0,29.0,398.0,40.0,367.0,119.0,81.0,30.0,1.0,7.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,12.0,2013.0,Baby Boomers,77.0,0.0,0.0,65.67472118959108
Undergraduate,Partner,25721.0,75.0,1.0,3.0,6.0,3.0,6.0,15.0,1.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,5.0,2013.0,Gen X,54.0,1.0,0.0,756.5
Undergraduate,Partner,32474.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,5.0,2013.0,Gen X,58.0,2.0,0.0,969.270749587855
Postgraduate,Alone,88194.0,19.0,688.0,14.0,309.0,120.5,24.0,38.0,1.0,11.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,3.0,2013.0,Gen X,46.0,1.0,0.0,69.22605965463109
Undergraduate,Partner,69096.0,4.0,247.0,49.0,159.0,7.0,81.0,109.0,1.0,5.0,2.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,9.0,2013.0,Baby Boomers,67.0,1.0,0.0,105.81316998468607
Undergraduate,Partner,74854.0,90.0,856.0,59.0,487.0,58.0,29.0,73.0,6.0,2.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,4.0,2013.0,Gen X,55.0,2.5,0.0,47.921895006402046
Postgraduate,Partner,66991.0,1.0,496.0,36.0,460.0,120.5,60.0,12.0,3.0,4.0,8.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,9.0,2013.0,Baby Boomers,71.0,0.0,0.0,53.46448523543496
Undergraduate,Partner,65031.0,29.0,258.0,79.5,291.0,84.0,37.0,86.0,4.0,10.0,3.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,3.0,2013.0,Baby Boomers,66.0,1.0,0.0,75.35457705677868
PhD,Partner,60631.0,88.0,565.0,6.0,65.0,0.0,6.0,19.0,5.0,9.0,2.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,4.0,2013.0,Gen X,50.0,2.0,0.0,91.72617246596067
Undergraduate,Partner,28332.0,58.0,14.0,10.0,13.0,4.0,15.0,9.0,1.0,2.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,4.0,2013.0,Baby Boomers,73.0,0.0,0.0,435.87692307692305
Undergraduate,Alone,40246.0,68.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,12.0,2013.0,Gen X,48.0,1.0,0.0,969.270749587855
Postgraduate,Partner,75251.0,34.0,721.0,79.5,556.625,97.0,18.0,18.0,1.0,7.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,8.0,2013.0,Gen X,53.0,0.0,0.0,39.81534391534392
Undergraduate,Alone,75825.0,40.0,1032.0,79.5,556.625,120.5,81.0,51.0,0.0,5.0,8.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,10.0,2013.0,Gen X,49.0,0.0,0.0,34.32548664554097
Postgraduate,Partner,26326.0,12.0,1.0,0.0,5.0,0.0,3.0,9.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,9.0,2013.0,Gen X,49.0,0.0,0.0,969.270749587855
Undergraduate,Partner,56046.0,9.0,577.0,0.0,64.0,0.0,0.0,51.0,2.0,10.0,1.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1.0,2013.0,Gen X,60.0,0.0,0.0,80.99132947976878
Undergraduate,Alone,29760.0,87.0,64.0,4.0,68.0,7.0,5.0,17.0,4.0,3.0,1.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,8.0,2013.0,Millennials,40.0,1.0,0.0,180.36363636363637
Undergraduate,Partner,26304.0,5.0,4.0,1.0,5.0,2.0,0.0,4.0,1.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,6.0,2013.0,Gen X,56.0,1.0,0.0,969.270749587855
Postgraduate,Partner,23559.0,87.0,25.0,5.0,19.0,7.0,0.0,23.0,3.0,3.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,7.0,2013.0,Gen X,52.0,1.0,0.0,298.2151898734177
Postgraduate,Partner,38620.0,56.0,112.0,17.0,44.0,34.0,22.0,89.0,1.0,2.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,5.0,2013.0,Baby Boomers,62.0,0.0,0.0,121.44654088050315
Undergraduate,Alone,81361.0,18.0,163.0,23.0,424.0,27.0,65.0,76.0,1.0,3.0,10.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,2.0,2013.0,Millennials,38.0,0.0,0.0,104.5771208226221
Undergraduate,Partner,29440.0,95.0,17.0,8.0,14.0,10.0,4.0,3.0,2.0,1.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,8.0,2013.0,Baby Boomers,65.0,2.0,0.0,525.7142857142857
Postgraduate,Partner,36138.0,48.0,130.0,0.0,16.0,0.0,0.0,5.0,5.0,3.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,7.0,2013.0,Gen X,55.0,2.0,0.0,239.32450331125827
Undergraduate,Alone,50388.0,3.0,292.0,6.0,37.0,0.0,3.0,34.0,4.0,6.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,5.0,2013.0,Baby Boomers,68.0,1.0,0.0,135.4516129032258
Undergraduate,Partner,79593.0,70.0,350.0,60.0,556.625,110.0,81.0,126.5,1.0,5.0,6.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,5.0,2013.0,Gen X,52.0,0.0,0.0,58.26720351390922
Undergraduate,Partner,54178.0,79.0,135.0,9.0,39.0,4.0,0.0,7.0,1.0,2.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,1.0,2013.0,Gen X,58.0,1.0,0.0,279.2680412371134
Postgraduate,Alone,42394.0,69.0,15.0,2.0,10.0,0.0,1.0,4.0,1.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,3.0,2013.0,Gen X,53.0,1.0,0.0,969.270749587855
PhD,Partner,23626.0,84.0,27.0,2.0,14.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,5.0,2013.0,Gen X,55.0,1.0,0.0,549.4418604651163
Undergraduate,Partner,30096.0,30.0,5.0,3.0,11.0,12.0,5.0,9.0,1.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,5.0,2013.0,Millennials,42.0,1.0,0.0,668.8
Undergraduate,Alone,47916.0,72.0,505.0,0.0,26.0,0.0,0.0,75.0,5.0,7.0,4.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,11.0,2013.0,Baby Boomers,65.0,1.0,0.0,79.06930693069307
Undergraduate,Alone,51813.0,37.0,51.0,2.0,7.0,0.0,1.0,2.0,2.0,2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,4.0,2013.0,Gen X,53.0,2.0,0.0,822.4285714285714
Postgraduate,Partner,78497.0,44.0,207.0,26.0,447.0,75.0,0.0,126.5,1.0,5.0,7.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,12.0,2013.0,Baby Boomers,74.0,0.0,0.0,80.26278118609407
PhD,Partner,50150.0,32.0,135.0,46.0,92.0,65.0,61.0,11.0,2.0,5.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,6.0,2013.0,Millennials,42.0,0.0,0.0,122.3170731707317
Postgraduate,Alone,47823.0,0.0,53.0,1.0,5.0,2.0,1.0,10.0,2.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,7.0,2013.0,Baby Boomers,65.0,1.0,0.0,664.2083333333334
PhD,Alone,34554.0,43.0,41.0,1.0,6.0,2.0,0.0,5.0,2.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,3.0,2013.0,Baby Boomers,66.0,1.0,0.0,628.2545454545455
Undergraduate,Partner,85693.0,59.0,386.0,79.5,183.0,120.5,81.0,111.0,2.0,9.0,5.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,4.0,2013.0,Gen X,46.0,1.0,0.0,73.30453378956373
PhD,Partner,65846.0,68.0,562.0,79.5,276.0,80.0,40.0,81.0,1.0,6.0,3.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,5.0,2013.0,Silent Generation,80.0,0.0,0.0,58.79107142857143
Undergraduate,Partner,87195.0,35.0,217.0,76.0,556.625,50.0,26.0,38.0,1.0,3.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,5.0,2013.0,Baby Boomers,66.0,0.0,0.0,79.48495897903373
Undergraduate,Partner,24594.0,94.0,1.0,3.0,6.0,10.0,0.0,9.0,1.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,12.0,2013.0,Gen X,46.0,1.0,0.0,848.0689655172414
Undergraduate,Partner,49096.0,15.0,144.0,1.0,32.0,2.0,1.0,7.0,4.0,4.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,9.0,2013.0,Baby Boomers,61.0,2.0,0.0,262.54545454545456
Undergraduate,Partner,52413.0,56.0,295.0,79.5,271.0,75.0,81.0,65.0,4.0,6.0,4.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,2.0,2013.0,Gen X,56.0,2.0,0.0,57.596703296703296
Undergraduate,Alone,38557.0,17.0,76.0,3.0,31.0,4.0,4.0,27.0,2.0,3.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,12.0,2013.0,Gen X,47.0,1.0,0.0,265.9103448275862
Postgraduate,Partner,89058.0,18.0,454.0,79.5,106.0,31.0,22.0,43.0,1.0,5.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,12.0,2013.0,Baby Boomers,65.0,0.0,0.0,104.77411764705883
