Education,Marital_Status,Income,Recency,wines,fruits,meat,fist,sweets,golds,DealsPurchases,onlinePurchases,CatalogPurchases,StorePurchases,NumWebVisitsMonth,month_enroll,Generation,Age,Childrens,Compaigns_Engagement,Income_to_Spending_Ratio,Cluster,Cluster_Category
Undergraduate,Partner,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,5,Gen X,49,2,0,207.6225680933852,0,Moderate Spender
Undergraduate,Partner,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,5,Millennials,36,1,0,292.82442748091603,1,Low Spender
PhD,Partner,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,11,Gen X,60,0,1,50.60885167464115,2,High Spender
Postgraduate,Alone,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,5,Millennials,36,0,0,365.9666666666666,1,Low Spender
Postgraduate,Partner,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,5,Baby Boomers,62,0,0,121.44654088050316,1,Low Spender
Undergraduate,Partner,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,10,Gen X,55,1,1,337.9,0,Moderate Spender
PhD,Alone,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,10,Baby Boomers,73,2,0,154.33774834437085,0,Moderate Spender
Postgraduate,Partner,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,2,Baby Boomers,79,0,0,57.40551839464883,2,High Spender
Postgraduate,Alone,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,8,Baby Boomers,74,2,0,759.8307692307692,0,Moderate Spender
PhD,Partner,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,12,Gen X,55,1,0,73.7710843373494,2,High Spender
Postgraduate,Partner,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,9,Gen X,49,1,0,292.81481481481484,1,Low Spender
Undergraduate,Alone,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,2,Gen X,52,1,0,633.2686567164179,0,Moderate Spender
PhD,Alone,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,2,Silent Generation,82,0,1,54.26607538802661,0,Moderate Spender
Undergraduate,Partner,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,4,Gen X,45,1,0,57.355555555555554,2,High Spender
Postgraduate,Partner,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,3,Millennials,40,1,0,387.9056603773585,1,Low Spender
Undergraduate,Partner,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,12,Baby Boomers,68,1,0,969.270749587855,1,Low Spender
Postgraduate,Partner,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,10,Gen X,50,1,0,241.93548387096772,1,Low Spender
Undergraduate,Alone,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,6,Gen X,49,0,0,81.24085365853658,2,High Spender
Postgraduate,Partner,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,11,Millennials,29,0,0,61.47540983606557,1,Low Spender
Undergraduate,Partner,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,5,Gen X,57,1,0,758.6909090909091,0,Moderate Spender
PhD,Partner,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,11,Baby Boomers,71,2,0,55.00379075056861,2,High Spender
Undergraduate,Alone,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,5,Baby Boomers,68,1,0,129.16370808678502,2,High Spender
Postgraduate,Partner,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,8,Baby Boomers,61,0,0,46.74719432959244,2,High Spender
Undergraduate,Alone,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,1,Gen X,48,1,0,497.0833333333333,1,Low Spender
Undergraduate,Alone,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,6,Gen X,48,0,2,51.07111935683364,2,High Spender
Undergraduate,Partner,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,6,Gen X,47,2,0,109.52640264026402,2,High Spender
Postgraduate,Partner,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,11,Baby Boomers,70,0,1,42.09708737864078,2,High Spender
Undergraduate,Alone,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,4,Gen X,59,0,0,64.30649588289113,2,High Spender
Undergraduate,Alone,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,4,Millennials,37,1,0,963.3793103448276,1,Low Spender
PhD,Partner,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,3,Gen X,57,1,0,108.01930501930502,0,Moderate Spender
Postgraduate,Alone,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,7,Millennials,43,0,2,52.69610570236439,2,High Spender
Undergraduate,Partner,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,9,Gen X,50,2,0,108.91013071895424,2,High Spender
Undergraduate,Alone,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,2,Baby Boomers,73,1,0,69.93552036199095,0,Moderate Spender
PhD,Alone,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,6,Baby Boomers,74,1,0,111.68316831683168,2,High Spender
Undergraduate,Partner,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,12,Baby Boomers,77,0,0,65.67472118959108,2,High Spender
Undergraduate,Partner,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,5,Gen X,54,1,0,756.5,1,Low Spender
Undergraduate,Partner,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,5,Gen X,58,2,0,969.270749587855,1,Low Spender
Postgraduate,Alone,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,3,Gen X,46,1,2,69.22605965463109,2,High Spender
Undergraduate,Partner,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,9,Baby Boomers,67,1,0,105.81316998468608,2,High Spender
Undergraduate,Partner,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,4,Gen X,55,3,0,47.921895006402046,2,High Spender
Postgraduate,Partner,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,9,Baby Boomers,71,0,0,53.46448523543496,2,High Spender
Undergraduate,Partner,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,3,Baby Boomers,66,1,0,75.35457705677868,2,High Spender
PhD,Partner,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,4,Gen X,50,2,1,91.72617246596069,0,Moderate Spender
Undergraduate,Partner,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,4,Baby Boomers,73,0,0,435.8769230769231,1,Low Spender
Undergraduate,Alone,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,12,Gen X,48,1,0,969.270749587855,0,Moderate Spender
Postgraduate,Partner,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,8,Gen X,53,0,0,39.81534391534392,2,High Spender
Undergraduate,Alone,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,10,Gen X,49,0,1,34.32548664554097,2,High Spender
Postgraduate,Partner,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,9,Gen X,49,0,0,969.270749587855,1,Low Spender
Undergraduate,Partner,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,1,Gen X,60,0,1,80.99132947976878,0,Moderate Spender
Undergraduate,Alone,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,8,Millennials,40,1,0,180.3636363636364,1,Low Spender
Undergraduate,Partner,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,6,Gen X,56,1,0,969.270749587855,1,Low Spender
Postgraduate,Partner,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,7,Gen X,52,1,0,298.2151898734177,1,Low Spender
Postgraduate,Partner,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,5,Baby Boomers,62,0,0,121.44654088050316,1,Low Spender
Undergraduate,Alone,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,2,Millennials,38,0,0,104.5771208226221,2,High Spender
Undergraduate,Partner,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,8,Baby Boomers,65,2,0,525.7142857142857,1,Low Spender
Postgraduate,Partner,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,7,Gen X,55,2,1,239.32450331125827,1,Low Spender
Undergraduate,Alone,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,5,Baby Boomers,68,1,2,135.4516129032258,0,Moderate Spender
Undergraduate,Partner,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,5,Gen X,52,0,1,58.26720351390922,2,High Spender
Undergraduate,Partner,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,1,Gen X,58,1,0,279.2680412371134,0,Moderate Spender
Postgraduate,Alone,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,3,Gen X,53,1,0,969.270749587855,0,Moderate Spender
PhD,Partner,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,5,Gen X,55,1,0,549.4418604651163,1,Low Spender
Undergraduate,Partner,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,5,Millennials,42,1,0,668.8,1,Low Spender
Undergraduate,Alone,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,11,Baby Boomers,65,1,1,79.06930693069307,0,Moderate Spender
Undergraduate,Alone,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,4,Gen X,53,2,0,822.4285714285714,0,Moderate Spender
Postgraduate,Partner,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,12,Baby Boomers,74,0,1,80.26278118609407,2,High Spender
PhD,Partner,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,6,Millennials,42,0,0,122.3170731707317,0,Moderate Spender
Postgraduate,Alone,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,7,Baby Boomers,65,1,0,664.2083333333334,0,Moderate Spender
PhD,Alone,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,3,Baby Boomers,66,1,0,628.2545454545455,1,Low Spender
Undergraduate,Partner,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,4,Gen X,46,1,0,73.30453378956373,2,High Spender
PhD,Partner,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,5,Silent Generation,80,0,0,58.79107142857143,2,High Spender
Undergraduate,Partner,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,5,Baby Boomers,66,0,0,79.48495897903373,2,High Spender
Undergraduate,Partner,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,12,Gen X,46,1,0,848.0689655172414,1,Low Spender
Undergraduate,Partner,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,9,Baby Boomers,61,2,0,262.54545454545456,0,Moderate Spender
Undergraduate,Partner,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,2,Gen X,56,2,0,57.596703296703296,0,Moderate Spender
Undergraduate,Alone,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,12,Gen X,47,1,0,265.9103448275862,1,Low Spender
Postgraduate,Partner,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,12,Baby Boomers,65,0,0,104.77411764705884,2,High Spender
Undergraduate,Partner,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,11,Gen X,46,1,0,79.77089783281734,2,High Spender
PhD,Alone,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,11,Millennials,34,0,1,37.43186813186813,2,High Spender
Postgraduate,Partner,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,6,Baby Boomers,62,1,1,94.22368421052632,0,Moderate Spender
Undergraduate,Alone,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,1,Millennials,34,0,2,117.85890410958903,2,High Spender
PhD,Partner,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,12,Gen X,45,1,0,79.8076225045372,0,Moderate Spender
Undergraduate,Alone,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,9,Baby Boomers,63,2,0,445.4824561403509,0,Moderate Spender
Undergraduate,Partner,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,1,Gen X,55,0,2,52.64791183294663,2,High Spender
Postgraduate,Partner,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,2,Gen X,47,1,0,63.34488734835355,1,Low Spender
Postgraduate,Partner,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,7,Gen X,58,2,0,379.6666666666667,1,Low Spender
Undergraduate,Partner,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,11,Gen X,56,1,0,664.1818181818181,1,Low Spender
Postgraduate,Partner,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,6,Baby Boomers,72,1,0,85.0439393939394,0,Moderate Spender
Postgraduate,Alone,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,2,Gen X,58,1,0,406.9625,1,Low Spender
Postgraduate,Partner,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,9,Millennials,40,2,0,650.3333333333334,1,Low Spender
Undergraduate,Alone,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,4,Gen X,49,1,0,720.7441860465116,1,Low Spender
Undergraduate,Alone,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,3,Millennials,42,0,3,89.84140969162996,2,High Spender
Postgraduate,Partner,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,2,Gen X,60,0,0,127.88550983899822,2,High Spender
Undergraduate,Alone,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,4,Millennials,41,0,0,41.39729589183568,2,High Spender
Postgraduate,Partner,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,6,Baby Boomers,72,2,0,603.8666666666667,0,Moderate Spender
PhD,Partner,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,5,Baby Boomers,69,2,0,117.05900151285933,2,High Spender
Undergraduate,Partner,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,9,Baby Boomers,73,1,0,136.0647948164147,0,Moderate Spender
Postgraduate,Alone,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,3,Baby Boomers,67,2,0,97.04272151898734,0,Moderate Spender
Undergraduate,Partner,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,2,Gen X,56,0,0,101.30758620689654,2,High Spender
PhD,Partner,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,8,Baby Boomers,61,2,0,148.92831541218638,0,Moderate Spender
PhD,Partner,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,3,Gen X,58,0,1,42.49730094466936,0,Moderate Spender
Undergraduate,Alone,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,8,Gen X,49,1,0,329.2413793103448,1,Low Spender
PhD,Partner,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,7,Baby Boomers,66,3,0,318.5094339622641,1,Low Spender
PhD,Alone,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,5,Gen X,52,2,1,731.8367346938776,1,Low Spender
PhD,Alone,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,7,Gen X,60,2,0,969.270749587855,1,Low Spender
Postgraduate,Alone,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,10,Millennials,33,0,0,44.708233028406354,2,High Spender
Postgraduate,Partner,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,11,Gen X,49,1,0,61.82716049382716,2,High Spender
Undergraduate,Partner,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,4,Baby Boomers,63,0,0,62.17400722021661,2,High Spender
PhD,Alone,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,8,Gen X,51,1,0,78.47531572904707,2,High Spender
Undergraduate,Partner,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,3,Millennials,37,1,0,134.2403846153846,0,Moderate Spender
Undergraduate,Partner,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,10,Gen X,49,2,0,68.19726339794755,0,Moderate Spender
Undergraduate,Partner,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,10,Gen X,50,1,0,352.30882352941177,1,Low Spender
Undergraduate,Partner,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,8,Millennials,44,1,0,969.270749587855,1,Low Spender
Postgraduate,Partner,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,8,Gen X,52,3,0,169.13744075829385,1,Low Spender
Postgraduate,Partner,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,6,Gen X,59,0,0,390.5905511811024,0,Moderate Spender
Postgraduate,Partner,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,4,Baby Boomers,72,2,0,129.3115468409586,0,Moderate Spender
Undergraduate,Partner,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,3,Gen X,56,1,1,142.9282608695652,2,High Spender
Postgraduate,Partner,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,12,Gen X,53,1,0,108.02797202797204,0,Moderate Spender
Undergraduate,Alone,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,5,Millennials,37,1,0,384.0,1,Low Spender
PhD,Partner,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,10,Baby Boomers,73,1,0,59.75514201762977,0,Moderate Spender
Undergraduate,Partner,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,2,Baby Boomers,76,0,2,50.23316437364229,2,High Spender
Undergraduate,Alone,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,7,Baby Boomers,67,1,0,163.29084967320262,0,Moderate Spender
Undergraduate,Alone,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,9,Gen X,47,3,0,969.270749587855,0,Moderate Spender
Undergraduate,Partner,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,10,Gen X,48,1,0,341.820987654321,0,Moderate Spender
Undergraduate,Alone,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,8,Baby Boomers,70,0,0,65.24532900081235,2,High Spender
Postgraduate,Alone,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,7,Baby Boomers,67,3,0,969.270749587855,1,Low Spender
PhD,Partner,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,11,Silent Generation,80,0,0,41.24032825322392,2,High Spender
Undergraduate,Partner,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,1,Millennials,41,1,0,191.96694214876032,1,Low Spender
PhD,Alone,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,5,Gen X,50,0,0,57.358855375096674,2,High Spender
PhD,Partner,118350.5,98,20,2,1582,1,2,1,15,0,22,0,0,3,Gen X,52,1,0,97.78793532338308,2,High Spender
Undergraduate,Partner,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,11,Gen X,59,3,0,494.1136363636364,0,Moderate Spender
Undergraduate,Alone,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,11,Baby Boomers,72,0,1,148.5771971496437,0,Moderate Spender
Undergraduate,Alone,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,8,Baby Boomers,66,0,1,202.0540540540541,0,Moderate Spender
Undergraduate,Alone,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,11,Millennials,37,0,0,59.93822739480752,2,High Spender
Undergraduate,Partner,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,2,Baby Boomers,68,2,0,293.1573033707865,1,Low Spender
Undergraduate,Partner,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,4,Gen X,60,2,0,929.3333333333334,1,Low Spender
Undergraduate,Partner,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,7,Millennials,43,1,0,503.8245614035088,1,Low Spender
Undergraduate,Partner,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,4,Gen X,55,2,0,340.8581081081081,0,Moderate Spender
PhD,Partner,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,1,Baby Boomers,66,2,0,575.6666666666666,0,Moderate Spender
Undergraduate,Alone,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,4,Gen X,58,1,1,437.5966386554622,0,Moderate Spender
PhD,Partner,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,9,Gen X,50,1,0,43.82942779291553,2,High Spender
PhD,Partner,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,12,Baby Boomers,77,0,2,63.6092564491654,2,High Spender
PhD,Partner,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,5,Gen X,55,2,0,863.4,1,Low Spender
Undergraduate,Partner,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,6,Baby Boomers,66,3,0,969.270749587855,1,Low Spender
Postgraduate,Partner,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,12,Baby Boomers,74,0,1,80.26278118609407,2,High Spender
PhD,Partner,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,5,Gen X,49,1,0,270.4188481675393,0,Moderate Spender
Postgraduate,Partner,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,5,Millennials,37,1,0,285.05263157894734,1,Low Spender
Postgraduate,Partner,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,9,Baby Boomers,79,0,0,64.6999031945789,2,High Spender
Postgraduate,Partner,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,1,Millennials,41,1,0,461.77272727272725,1,Low Spender
Undergraduate,Partner,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,6,Baby Boomers,64,0,0,656.953488372093,1,Low Spender
Undergraduate,Partner,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,12,Millennials,42,1,0,505.42,1,Low Spender
PhD,Alone,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,3,Gen X,55,1,0,828.2820512820513,1,Low Spender
Undergraduate,Partner,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,8,Gen X,59,1,0,100.79934210526316,0,Moderate Spender
Undergraduate,Partner,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,3,Gen X,49,0,0,46.84882985452246,2,High Spender
PhD,Partner,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,2,Baby Boomers,61,2,0,672.9264705882352,0,Moderate Spender
Undergraduate,Partner,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,9,Gen X,47,1,1,311.025,1,Low Spender
PhD,Partner,66973.0,98,466,22,432,147,113,102,1,8,7,12,3,5,Millennials,36,0,0,52.24102964118565,2,High Spender
Postgraduate,Alone,36640.0,99,15,6,8,7,4,25,1,2,1,2,5,9,Silent Generation,93,1,0,563.6923076923077,1,Low Spender
Undergraduate,Partner,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,5,Millennials,37,1,0,427.1648351648352,1,Low Spender
Undergraduate,Partner,51148.0,38,235,6,45,8,9,12,4,5,1,6,6,2,Gen X,52,2,0,162.37460317460318,0,Moderate Spender
Undergraduate,Partner,31353.0,24,10,0,10,3,1,7,2,1,1,2,8,12,Gen X,48,2,0,969.270749587855,1,Low Spender
Postgraduate,Partner,69661.0,80,656,16,106,32,16,8,1,7,3,12,3,5,Gen X,45,0,0,83.52637889688249,2,High Spender
Undergraduate,Partner,80067.0,82,519,17,813,27,173,51,1,4,6,6,2,9,Baby Boomers,71,0,1,50.041875,2,High Spender
Undergraduate,Partner,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,1,Baby Boomers,71,0,0,68.28188976377953,2,High Spender
PhD,Alone,46854.0,81,96,1,79,7,1,79,6,5,1,3,8,3,Gen X,52,2,1,178.15209125475286,0,Moderate Spender
Undergraduate,Alone,69142.0,50,448,4,34,6,4,39,3,8,1,7,5,6,Baby Boomers,73,1,1,129.23738317757008,2,High Spender
Undergraduate,Alone,75922.0,60,265,138,553,224,23,92,1,4,4,9,1,12,Gen X,57,0,0,58.62702702702703,2,High Spender
Undergraduate,Alone,63693.0,63,587,43,337,42,87,54,3,11,6,9,6,10,Gen X,47,1,0,55.38521739130434,0,Moderate Spender
PhD,Partner,102160.0,54,763,29,138,76,176,58,0,7,9,10,4,11,Gen X,48,0,3,82.38709677419355,2,High Spender
PhD,Alone,40637.0,72,22,0,13,0,0,3,2,1,0,3,7,7,Gen X,60,2,0,969.270749587855,0,Moderate Spender
Postgraduate,Alone,18890.0,5,6,4,1,7,2,15,1,0,1,2,6,11,Millennials,41,0,1,539.7142857142857,1,Low Spender
Undergraduate,Partner,29604.0,88,7,6,13,7,6,14,1,1,0,3,9,12,Millennials,37,1,1,558.566037735849,1,Low Spender
Postgraduate,Alone,48721.0,50,81,18,113,47,13,21,6,4,2,5,6,5,Baby Boomers,62,2,0,166.28327645051195,0,Moderate Spender
