Education,Marital_Status,Income,Recency,Deals,online,Catalog,Store,NumWebVisitsMonth,month_enroll,Generation,Age,Childrens,Compaigns_Engagement,Income_to_Spending_Ratio,Cluster
Undergraduate,Partner,0.5114222533410259,70,1,5,6,7,2,5,Gen X,52,0,1,58.26720351390922,2
Undergraduate,Partner,0.37137888503061645,79,1,2,2,5,2,1,Gen X,58,1,0,279.2680412371134,1
Postgraduate,Alone,0.2991311941691747,69,1,1,0,3,7,3,Gen X,53,1,0,1324.8125,1
PhD,Partner,0.1720643788914834,84,3,3,1,3,5,5,Gen X,55,1,0,549.4418604651163,0
Undergraduate,Partner,0.21771556142382714,30,1,2,0,3,6,5,Millennials,42,1,0,668.8,0
Undergraduate,Alone,0.33363730584725676,72,5,7,4,6,6,11,Baby Boomers,65,1,1,79.06930693069307,1
Undergraduate,Alone,0.35729171212310307,37,2,2,0,3,7,4,Gen X,53,2,0,822.4285714285714,1
Postgraduate,Partner,0.5057708748311106,44,1,5,7,12,2,12,Baby Boomers,74,0,1,80.26278118609407,2
PhD,Partner,0.3472658251129203,32,2,5,2,7,5,6,Millennials,42,0,0,122.3170731707317,1
Postgraduate,Alone,0.3330659123689433,0,2,2,0,3,8,7,Baby Boomers,65,1,0,664.2083333333334,1
PhD,Alone,0.24800001323278653,43,2,2,0,3,6,3,Baby Boomers,66,1,0,628.2545454545455,0
Undergraduate,Partner,0.5423055456904964,59,2,9,5,11,5,4,Gen X,46,1,0,73.30453378956373,2
PhD,Partner,0.43811509623877004,68,1,6,3,6,4,5,Silent Generation,80,0,0,58.79107142857143,2
Undergraduate,Partner,0.5497658019615149,35,1,3,11,5,1,5,Baby Boomers,66,0,0,79.48495897903373,2
Undergraduate,Partner,0.17902841076293607,94,1,1,0,3,5,12,Gen X,46,1,0,848.0689655172414,0
Undergraduate,Partner,0.34085903414871516,15,4,4,1,4,7,9,Baby Boomers,61,2,0,262.54545454545456,1
Undergraduate,Partner,0.3608844550619633,56,4,6,4,12,6,2,Gen X,56,2,0,57.596703296703296,1
Undergraduate,Alone,0.2744334157671777,17,2,3,1,3,7,12,Gen X,47,1,0,265.9103448275862,1
Postgraduate,Partner,0.558942437778635,18,1,5,4,4,2,12,Baby Boomers,65,0,0,104.77411764705884,2
Undergraduate,Partner,0.4995515880252563,46,1,6,6,11,3,11,Gen X,46,1,0,79.77089783281734,2
PhD,Alone,0.4506512394972475,40,1,7,4,5,9,11,Millennials,34,0,1,37.43186813186813,2
Postgraduate,Partner,0.38960665616456547,27,3,8,1,8,6,6,Baby Boomers,62,1,1,94.22368421052632,1
Undergraduate,Alone,0.5440190732609509,95,1,6,7,11,3,1,Millennials,34,0,2,117.85890410958903,2
PhD,Partner,0.3091265644183668,19,5,6,4,6,7,12,Gen X,45,1,0,79.8076225045372,1
Undergraduate,Alone,0.35110598271250343,27,2,2,1,3,6,9,Baby Boomers,63,2,0,445.4824561403509,1
Undergraduate,Partner,0.5672773655734874,25,0,4,6,5,1,1,Gen X,55,0,2,52.64791183294663,2
Postgraduate,Partner,0.2612677353191529,74,5,9,1,5,9,2,Gen X,47,1,0,63.34488734835355,0
Postgraduate,Partner,0.22223678166377514,85,2,1,1,3,5,7,Gen X,58,2,0,379.6666666666667,0
Undergraduate,Partner,0.15965706454702944,37,2,2,0,3,6,11,Gen X,56,1,0,664.1818181818181,0
Postgraduate,Partner,0.38285251187479646,65,4,6,2,10,4,6,Baby Boomers,72,1,0,85.0439393939394,1
Postgraduate,Alone,0.23454710700350687,13,3,2,1,3,5,2,Gen X,58,1,0,406.9625,0
Postgraduate,Partner,0.141899075106148,63,2,1,0,3,7,9,Millennials,40,2,0,650.3333333333334,0
Undergraduate,Alone,0.22387642995274346,83,1,1,0,3,7,4,Gen X,49,1,0,720.7441860465116,0
Undergraduate,Alone,0.6203292164622733,69,0,6,8,13,2,3,Millennials,42,0,3,89.84140969162996,2
Postgraduate,Partner,0.46885447903721944,87,2,3,4,7,1,2,Gen X,60,0,0,127.88550983899822,2
Undergraduate,Alone,0.511494236291381,37,1,3,6,6,1,4,Millennials,41,0,0,41.39729589183568,2
Postgraduate,Partner,0.3723838894455935,51,2,2,0,4,6,6,Baby Boomers,72,2,0,603.8666666666667,1
PhD,Partner,0.4999573572365825,72,4,6,3,10,4,5,Baby Boomers,69,2,0,117.05900151285933,2
Undergraduate,Partner,0.42223187631036285,10,5,5,4,5,5,9,Baby Boomers,73,1,0,136.0647948164147,2
Postgraduate,Alone,0.4128166532754434,42,5,11,1,6,8,3,Baby Boomers,67,2,0,97.04272151898734,2
Undergraduate,Partner,0.47931580251627837,10,1,7,2,9,4,2,Gen X,56,0,0,101.30758620689654,2
PhD,Partner,0.2937570649678471,51,5,5,1,5,8,8,Baby Boomers,61,2,0,148.92831541218638,1
PhD,Partner,0.42213630626306725,21,1,4,5,13,3,3,Gen X,58,0,1,42.49730094466936,2
Undergraduate,Alone,0.0648865447407812,31,2,1,0,3,8,8,Gen X,49,1,0,329.2413793103448,0
PhD,Partner,0.2426862941175359,61,3,2,2,2,8,7,Baby Boomers,66,3,0,318.5094339622641,0
PhD,Alone,0.2567010791373035,37,2,1,1,2,5,5,Gen X,52,2,1,731.8367346938776,0
PhD,Alone,0.26371454645375053,74,2,2,0,3,7,7,Gen X,60,2,0,971.6052631578948,0
Postgraduate,Alone,0.5774079537797162,46,1,5,4,12,2,10,Millennials,33,0,0,44.708233028406354,2
Postgraduate,Partner,0.43400122165374794,4,2,3,5,7,7,11,Gen X,49,1,0,61.82716049382716,2
Undergraduate,Partner,0.5443872975037208,73,1,5,7,10,2,4,Baby Boomers,63,0,0,62.17400722021661,2
PhD,Alone,0.451885339020717,47,3,8,5,9,6,8,Gen X,51,1,0,78.47531572904707,2
Undergraduate,Partner,0.2958770153172187,13,3,4,2,3,7,3,Millennials,37,1,0,134.2403846153846,1
Undergraduate,Partner,0.4041422818726116,36,3,3,3,6,8,10,Gen X,49,2,0,68.19726339794755,1
Undergraduate,Partner,0.1744511353352279,47,1,2,0,3,6,10,Gen X,50,1,0,352.30882352941177,0
Undergraduate,Partner,0.27436824477476335,49,1,1,0,2,8,8,Millennials,44,1,0,1752.1363636363635,1
Postgraduate,Partner,0.25555946967601545,94,7,4,1,4,8,8,Gen X,52,3,0,169.13744075829385,0
Postgraduate,Partner,0.343958140994078,65,1,2,1,4,3,6,Gen X,59,0,0,390.5905511811024,1
Postgraduate,Partner,0.4015344120833581,59,1,4,4,7,3,4,Baby Boomers,72,2,0,129.3115468409586,1
Undergraduate,Partner,0.4375671874103725,96,4,8,1,6,6,3,Gen X,56,1,1,142.9282608695652,2
Postgraduate,Partner,0.323934753810587,28,4,7,1,5,7,12,Gen X,53,1,0,108.02797202797204,1
Undergraduate,Alone,0.2454674418900998,12,4,3,0,4,6,5,Millennials,37,1,0,384.0,0
PhD,Partner,0.4109934210495576,57,2,8,5,11,5,10,Baby Boomers,73,1,0,59.75514201762977,2
Undergraduate,Partner,0.45743629815932013,10,1,10,4,6,4,2,Baby Boomers,76,0,2,50.23316437364229,2
Undergraduate,Alone,0.34615639117412494,4,3,6,1,5,7,7,Baby Boomers,67,1,0,163.29084967320262,1
Undergraduate,Alone,0.40637219854584694,49,1,0,0,3,4,9,Gen X,47,3,0,3344.3888888888887,1
Undergraduate,Partner,0.3784339102558555,3,1,1,1,6,2,10,Gen X,48,1,0,341.820987654321,1
Undergraduate,Alone,0.515138022157952,64,1,3,4,10,1,8,Baby Boomers,70,0,0,65.24532900081235,2
Postgraduate,Alone,0.22065633489304137,0,1,1,0,2,7,7,Baby Boomers,67,3,0,2347.923076923077,0
PhD,Partner,0.4627622973963232,20,2,10,6,9,6,11,Silent Generation,80,0,0,41.24032825322392,2
Undergraduate,Partner,0.1691869391271103,91,4,3,0,4,8,1,Millennials,41,1,0,191.96694214876032,0
PhD,Alone,0.48311554953226116,9,1,5,4,10,2,5,Gen X,50,0,0,57.358855375096674,2
PhD,Partner,0.6931471805599453,98,15,0,22,0,0,3,Gen X,52,1,0,97.78793532338308,2
Undergraduate,Partner,0.3060247799829846,83,3,2,0,4,6,11,Gen X,59,3,0,494.1136363636364,1
Undergraduate,Alone,0.41971590391401675,27,1,6,7,4,3,11,Baby Boomers,72,0,1,148.5771971496437,2
Undergraduate,Alone,0.3604001877608688,63,1,3,2,6,4,8,Baby Boomers,66,0,1,202.0540540540541,1
Undergraduate,Alone,0.44421035530630726,46,1,3,4,7,1,11,Millennials,37,0,0,59.93822739480752,2
Undergraduate,Partner,0.18970360288211566,84,3,2,1,3,5,2,Baby Boomers,68,2,0,293.1573033707865,0
Undergraduate,Partner,0.24062568038970325,58,2,1,0,3,7,4,Gen X,60,2,0,929.3333333333334,0
Undergraduate,Partner,0.20816577384881538,78,2,2,0,3,8,7,Millennials,43,1,0,503.8245614035088,0
Undergraduate,Partner,0.3490637661380893,4,1,3,1,3,6,4,Gen X,55,2,0,340.8581081081081,1
PhD,Partner,0.36758031692459275,17,2,2,1,3,5,1,Baby Boomers,66,2,0,575.6666666666666,1
Undergraduate,Alone,0.3588561417551434,77,1,2,2,2,4,4,Gen X,58,1,1,437.5966386554622,1
PhD,Partner,0.5157013663889698,56,1,11,8,8,5,9,Gen X,50,1,0,43.82942779291553,2
PhD,Partner,0.5330094663647371,79,1,9,10,5,4,12,Baby Boomers,77,0,2,63.6092564491654,2
PhD,Partner,0.2763605561561135,90,2,2,0,3,7,5,Gen X,55,2,0,863.4,1
Undergraduate,Partner,0.2726592496325624,96,1,0,0,3,2,6,Baby Boomers,66,3,0,3828.5,1
Postgraduate,Partner,0.5057708748311106,44,1,5,7,12,2,12,Baby Boomers,74,0,1,80.26278118609407,2
PhD,Partner,0.3563134498708242,81,1,4,1,4,5,5,Gen X,49,1,0,270.4188481675393,1
Postgraduate,Partner,0.11732894339828671,77,3,2,1,3,6,5,Millennials,37,1,0,285.05263157894734,0
Postgraduate,Partner,0.44357223356293524,21,1,6,4,13,2,9,Baby Boomers,79,0,0,64.6999031945789,2
Postgraduate,Partner,0.22033994558023398,16,1,1,1,3,6,1,Millennials,41,1,0,461.77272727272725,0
Undergraduate,Partner,0.20489460600657997,80,1,2,0,3,6,6,Baby Boomers,64,0,0,656.953488372093,0
Undergraduate,Partner,0.18387025597153286,45,1,1,1,2,9,12,Millennials,42,1,0,505.42,0
PhD,Alone,0.23282297449702796,63,2,1,0,4,5,3,Gen X,55,1,0,828.2820512820513,0
Undergraduate,Partner,0.41256126022415146,34,2,7,1,8,5,8,Gen X,59,1,0,100.79934210526316,2
Undergraduate,Partner,0.48260234101549193,14,1,4,10,9,2,3,Gen X,49,0,0,46.84882985452246,2
PhD,Partner,0.3202998999868942,13,2,2,0,3,7,2,Baby Boomers,61,2,0,672.9264705882352,1
Undergraduate,Partner,0.1810910276506439,52,1,1,1,2,6,9,Gen X,47,1,1,311.025,0
PhD,Partner,0.44433133247201484,98,1,8,7,12,3,5,Millennials,36,0,0,52.24102964118565,2
Postgraduate,Alone,0.2618618516051823,99,1,2,1,2,5,9,Silent Generation,93,1,0,563.6923076923077,0
Undergraduate,Partner,0.276484130980827,93,2,3,0,3,8,5,Millennials,37,1,0,427.1648351648352,1
Undergraduate,Partner,0.3532946159622365,38,4,5,1,6,6,2,Gen X,52,2,0,162.37460317460318,1
Undergraduate,Partner,0.2263479674657615,24,2,1,1,2,8,12,Gen X,48,2,0,1011.3870967741937,0
Postgraduate,Partner,0.45900348410752384,80,1,7,3,12,3,5,Gen X,45,0,0,83.52637889688249,2
Undergraduate,Partner,0.5138565128774483,82,1,4,6,6,2,9,Baby Boomers,71,0,1,50.041875,2
Undergraduate,Partner,0.5474026247927284,20,1,5,6,5,2,1,Baby Boomers,71,0,0,68.28188976377953,2
PhD,Alone,0.32709285649762526,81,6,5,1,3,8,3,Gen X,52,2,1,178.15209125475286,1
Undergraduate,Alone,0.4561872992323732,50,3,8,1,7,5,6,Baby Boomers,73,1,1,129.23738317757008,2
Undergraduate,Alone,0.4923661972810202,60,1,4,4,9,1,12,Gen X,57,0,0,58.62702702702703,2
Undergraduate,Alone,0.42613120574218005,63,3,11,6,9,6,10,Gen X,47,1,0,55.38521739130434,2
PhD,Partner,0.621204972145551,54,0,7,9,10,4,11,Gen X,48,0,3,82.38709677419355,2
PhD,Alone,0.2878974916438918,72,2,1,0,3,7,7,Gen X,60,2,0,1069.3947368421052,1
Postgraduate,Alone,0.13727532394864517,5,1,0,1,2,6,11,Millennials,41,0,1,539.7142857142857,0
Undergraduate,Partner,0.21431637133028641,88,1,1,0,3,9,12,Millennials,37,1,1,558.566037735849,0
Postgraduate,Alone,0.33856964188263816,50,6,4,2,5,6,5,Baby Boomers,62,2,0,166.28327645051195,1
Undergraduate,Partner,0.3142749203147158,99,1,2,0,3,6,6,Gen X,59,1,0,689.1384615384616,1
Undergraduate,Alone,0.4306231972829738,17,5,11,4,9,8,9,Baby Boomers,71,1,1,35.75221729490022,2
Undergraduate,Partner,0.32240164900471235,11,5,3,1,6,4,3,Baby Boomers,69,1,0,191.27385892116183,1
Undergraduate,Partner,0.5030524265550678,18,1,4,6,9,1,3,Baby Boomers,71,0,0,70.81925522252497,2
PhD,Partner,0.31166010531061067,70,8,5,1,5,8,10,Gen X,57,2,0,168.09469696969697,1
Postgraduate,Partner,0.32188594807496274,21,10,7,1,8,7,1,Gen X,51,2,0,85.05360443622921,1
Undergraduate,Partner,0.4659690866748231,66,1,3,4,9,1,5,Millennials,40,0,0,59.22454090150251,2
Undergraduate,Partner,0.29306647266160607,79,6,8,1,5,8,4,Gen X,48,1,0,85.98132780082987,1
Postgraduate,Alone,0.35958058423556194,2,1,1,0,2,8,5,Gen X,47,3,0,3070.294117647059,1
Postgraduate,Partner,0.5327729336315303,81,1,8,10,6,3,11,Baby Boomers,77,0,2,51.88235294117647,2
Postgraduate,Alone,0.3127520105739558,24,2,4,1,5,7,8,Baby Boomers,71,1,0,156.31929824561402,1
Undergraduate,Partner,0.4581741033850933,48,2,11,4,11,6,11,Gen X,45,1,0,61.24052863436123,2
Postgraduate,Partner,0.3168391926694523,93,1,1,1,4,3,4,Millennials,37,1,0,396.5263157894737,1
Undergraduate,Partner,0.47405612082376675,56,1,3,5,7,1,11,Gen X,56,0,0,69.207258834766,2
PhD,Partner,0.5012360134705076,3,2,6,3,11,3,4,Gen X,55,2,0,108.71428571428572,2
PhD,Partner,0.2220925835765532,44,4,4,1,4,8,1,Gen X,45,1,0,166.11891891891892,0
Undergraduate,Alone,0.4272169426807809,38,5,9,6,12,6,9,Baby Boomers,63,1,0,51.31485943775101,2
Undergraduate,Partner,0.2966931467086574,46,4,3,1,4,8,3,Gen X,47,1,0,222.2804232804233,1
Undergraduate,Partner,0.35462474754643913,84,2,8,2,4,8,10,Gen X,49,1,0,89.18229166666667,1
Undergraduate,Alone,0.3556347059414484,27,3,2,2,11,8,12,Baby Boomers,73,1,0,46.72438803263826,1
PhD,Partner,0.5131535485970546,72,1,3,5,8,2,8,Gen X,53,0,0,45.59612093553908,2
PhD,Partner,0.24643298741447703,66,1,1,0,2,8,2,Millennials,39,1,0,2018.8235294117649,0
Undergraduate,Alone,0.26469554543949836,30,9,5,1,8,7,3,Gen X,59,2,0,85.61200923787528,1
Postgraduate,Alone,0.523595681233307,2,1,6,3,4,7,1,Baby Boomers,63,1,1,51.62153652392947,2
Undergraduate,Partner,0.27464844991282206,65,1,1,0,2,8,5,Gen X,54,1,0,1754.090909090909,1
Undergraduate,Alone,0.10802074249159788,37,1,1,0,3,3,4,Baby Boomers,74,0,0,791.2105263157895,0
PhD,Partner,0.42080862475655867,89,3,7,8,11,5,3,Gen X,60,1,0,56.1727842435094,2
Postgraduate,Partner,0.1618037480530012,49,2,2,0,4,6,12,Gen X,50,1,0,321.9130434782609,0
Postgraduate,Partner,0.172317024452762,46,1,1,0,3,7,12,Millennials,43,1,0,1028.7391304347825,0
PhD,Alone,0.5122857069519204,32,1,5,2,11,3,10,Baby Boomers,67,1,0,131.83636363636364,2
Undergraduate,Alone,0.0482916794729126,54,4,3,1,3,7,12,Gen X,52,1,0,131.57894736842104,0
Postgraduate,Alone,0.4062751006310911,23,1,1,0,2,4,5,Silent Generation,93,1,0,2735.5454545454545,1
Undergraduate,Alone,0.4793529689475619,98,1,6,5,10,3,10,Gen X,57,0,1,35.179597701149426,2
Undergraduate,Partner,0.4332064371763462,97,2,6,4,4,3,12,Baby Boomers,67,1,0,64.38156590683846,2
Undergraduate,Alone,0.16611238982014678,75,1,2,0,2,9,7,Gen X,54,1,0,877.0769230769231,0
Undergraduate,Partner,0.4805839897624125,8,1,3,9,9,2,11,Millennials,35,0,1,45.290104486785495,2
Undergraduate,Partner,0.4113571969335232,37,7,11,5,8,7,8,Baby Boomers,67,1,0,55.42105263157895,2
PhD,Partner,0.22862240325260905,31,2,1,0,3,6,6,Baby Boomers,61,2,0,1863.8823529411768,0
Undergraduate,Partner,0.5142001184831388,40,2,5,3,6,6,5,Gen X,53,1,3,47.41656804733728,2
Undergraduate,Partner,0.48766469412340596,74,2,9,4,6,5,1,Baby Boomers,72,1,0,53.97625899280576,2
PhD,Partner,0.44747709405601227,90,1,4,10,5,3,8,Millennials,37,0,0,31.77140169332079,2
Postgraduate,Partner,0.43440115389278344,57,4,9,6,6,6,10,Gen X,56,1,0,42.57086871325931,2
Postgraduate,Alone,0.22502737909892134,59,2,2,0,3,8,9,Gen X,50,1,0,486.875,0
Undergraduate,Alone,0.21662521057481385,52,2,1,0,3,6,10,Millennials,40,1,0,1151.4615384615386,0
Undergraduate,Alone,0.6236530157395072,5,1,6,9,13,2,4,Gen X,51,0,4,92.34892086330936,2
Postgraduate,Partner,0.1925297640905923,92,2,3,1,5,6,9,Baby Boomers,67,0,0,126.14285714285714,0
Undergraduate,Partner,0.49121256780894135,77,5,4,6,11,8,8,Gen X,58,2,0,65.94250871080139,2
PhD,Alone,0.22323872730626623,35,2,1,0,3,6,10,Gen X,51,1,0,936.3333333333334,0
PhD,Partner,0.4241638045425869,48,3,8,3,5,6,10,Baby Boomers,64,1,1,57.53133514986376,2
Undergraduate,Alone,0.32173056433897657,97,4,3,2,7,3,10,Baby Boomers,61,1,0,142.82298136645963,1
Undergraduate,Alone,0.1358615631099647,95,4,2,0,4,5,6,Baby Boomers,61,2,0,425.02272727272725,0
PhD,Alone,0.288540258132895,24,1,1,0,2,8,12,Baby Boomers,68,3,0,2396.294117647059,1
Undergraduate,Alone,0.10997383056693298,60,2,1,1,2,7,10,Gen X,46,1,1,493.1290322580645,0
