ID,Year_Birth,Education,Marital_Status,Income,Dt_Customer,Recency,wines,fruits,meat,fist,sweets,golds,DealsPurchases,onlinePurchases,CatalogPurchases,StorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,month_enroll,year_enroll,Age,Childrens,customer_spending,Compaigns_Engagement,Income_to_Spending_Ratio,Generation
2278,1985,Postgraduate,Alone,33812.0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,11,2012,40,1,133,0,254.2255639097744,Millennials
9360,1982,Undergraduate,Partner,37040.0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,8,2012,43,0,316,0,117.21518987341771,Millennials
5376,1979,Undergraduate,Partner,2447.0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,1,2013,46,1,1730,0,1.414450867052023,Gen X
1993,1949,PhD,Partner,58607.0,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,12,2012,76,1,972,1,60.29526748971193,Baby Boomers
4047,1954,PhD,Partner,65324.0,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,1,2014,71,1,544,0,120.08088235294116,Baby Boomers
1409,1951,Undergraduate,Partner,40689.0,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,3,2013,74,1,444,0,91.64189189189187,Baby Boomers
7892,1969,Undergraduate,Alone,18589.0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,1,2013,56,0,75,0,247.85333333333327,Gen X
2404,1976,Undergraduate,Partner,53359.0,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,5,2013,49,2,257,0,207.6225680933852,Gen X
9422,1989,Undergraduate,Partner,38360.0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,5,2013,36,1,131,0,292.82442748091603,Millennials
1966,1965,PhD,Partner,84618.0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,11,2013,60,0,1672,1,50.60885167464115,Gen X
6864,1989,Postgraduate,Alone,10979.0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,5,2014,36,0,30,0,365.9666666666666,Millennials
3033,1963,Postgraduate,Partner,38620.0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,5,2013,62,0,318,0,121.44654088050316,Baby Boomers
5710,1970,Undergraduate,Partner,40548.0,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,10,2012,55,1,120,1,337.9,Gen X
7373,1952,PhD,Alone,46610.0,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,10,2012,73,2,302,0,154.33774834437085,Baby Boomers
8755,1946,Postgraduate,Partner,68657.0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,2,2013,79,0,1196,0,57.40551839464883,Baby Boomers
10738,1951,Postgraduate,Alone,49389.0,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,8,2013,74,2,65,0,759.8307692307692,Baby Boomers
4339,1970,PhD,Partner,67353.0,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,12,2013,55,1,913,0,73.7710843373494,Gen X
10755,1976,Postgraduate,Partner,23718.0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,9,2013,49,1,81,0,292.81481481481484,Gen X
8595,1973,Undergraduate,Alone,42429.0,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,2,2014,52,1,67,0,633.2686567164179,Gen X
2968,1943,PhD,Alone,48948.0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,2,2013,82,0,902,1,54.26607538802661,Silent Generation
8601,1980,Undergraduate,Partner,80011.0,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,4,2013,45,1,1395,0,57.355555555555554,Gen X
503,1985,Postgraduate,Partner,20559.0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,3,2013,40,1,53,0,387.9056603773585,Millennials
8430,1957,Undergraduate,Partner,21994.0,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,12,2012,68,1,22,0,999.7272727272727,Baby Boomers
2139,1975,Postgraduate,Partner,7500.0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,10,2013,50,1,31,0,241.93548387096772,Gen X
1371,1976,Undergraduate,Alone,79941.0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,6,2014,49,0,984,0,81.24085365853658,Gen X
9909,1996,Postgraduate,Partner,7500.0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,11,2012,29,0,122,0,61.47540983606557,Millennials
7286,1968,Undergraduate,Partner,41728.0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,5,2013,57,1,55,0,758.6909090909091,Gen X
6566,1954,PhD,Partner,72550.0,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,11,2012,71,2,1319,0,55.00379075056861,Baby Boomers
8614,1957,Undergraduate,Alone,65486.0,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,5,2014,68,1,507,0,129.16370808678502,Baby Boomers
4114,1964,Postgraduate,Partner,79143.0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,8,2012,61,0,1693,0,46.74719432959244,Baby Boomers
1331,1977,Undergraduate,Alone,35790.0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,1,2013,48,1,72,0,497.0833333333333,Gen X
2225,1977,Undergraduate,Alone,82582.0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,6,2014,48,0,1617,2,51.07111935683364,Gen X
9381,1978,Undergraduate,Partner,66373.0,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,6,2013,47,2,606,0,109.52640264026402,Gen X
6260,1955,Postgraduate,Partner,82384.0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,11,2012,70,0,1957,1,42.09708737864078,Baby Boomers
10383,1966,Undergraduate,Alone,70287.0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,4,2013,59,0,1093,0,64.30649588289113,Gen X
7437,1988,Undergraduate,Alone,27938.0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,4,2014,37,1,29,0,963.3793103448276,Millennials
8375,1968,PhD,Partner,55954.0,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,3,2014,57,1,518,0,108.01930501930502,Gen X
6853,1982,Postgraduate,Alone,75777.0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,7,2013,43,0,1438,2,52.69610570236439,Millennials
3076,1975,Undergraduate,Partner,66653.0,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,9,2012,50,2,612,0,108.91013071895424,Gen X
1012,1952,Undergraduate,Alone,61823.0,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,2,2013,73,1,884,0,69.93552036199095,Baby Boomers
6518,1951,PhD,Alone,67680.0,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,6,2013,74,1,606,0,111.68316831683168,Baby Boomers
4137,1948,Undergraduate,Partner,70666.0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,12,2013,77,0,1076,0,65.67472118959108,Baby Boomers
8082,1971,Undergraduate,Partner,25721.0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,5,2013,54,1,34,0,756.5,Gen X
1386,1967,Undergraduate,Partner,32474.0,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,5,2014,58,2,11,0,2952.181818181818,Gen X
9369,1979,Postgraduate,Alone,88194.0,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,3,2014,46,1,1274,2,69.22605965463109,Gen X
4477,1958,Undergraduate,Partner,69096.0,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,9,2013,67,1,653,0,105.81316998468608,Baby Boomers
1357,1970,Undergraduate,Partner,74854.0,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,4,2013,55,3,1562,0,47.921895006402046,Gen X
1402,1954,Postgraduate,Partner,66991.0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,9,2012,71,0,1253,0,53.46448523543496,Baby Boomers
6312,1959,Undergraduate,Partner,65031.0,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,3,2013,66,1,863,0,75.35457705677868,Baby Boomers
8132,1975,PhD,Partner,60631.0,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,4,2013,50,2,661,1,91.72617246596069,Gen X
1050,1952,Undergraduate,Partner,28332.0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,4,2014,73,0,65,0,435.8769230769231,Baby Boomers
5846,1977,Undergraduate,Alone,40246.0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,12,2012,48,1,13,0,3095.846153846154,Gen X
1859,1972,Postgraduate,Partner,75251.0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,8,2012,53,0,1890,0,39.81534391534392,Gen X
7503,1976,Undergraduate,Alone,75825.0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,10,2012,49,0,2209,1,34.32548664554097,Gen X
10401,1976,Postgraduate,Partner,26326.0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,9,2013,49,0,18,0,1462.5555555555557,Gen X
1618,1965,Undergraduate,Partner,56046.0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,1,2013,60,0,692,1,80.99132947976878,Gen X
3332,1985,Undergraduate,Alone,29760.0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,8,2012,40,1,165,0,180.3636363636364,Millennials
2261,1969,Undergraduate,Partner,26304.0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,6,2013,56,1,16,0,1644.0,Gen X
5346,1973,Postgraduate,Partner,23559.0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,7,2013,52,1,79,0,298.2151898734177,Gen X
4119,1963,Postgraduate,Partner,38620.0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,5,2013,62,0,318,0,121.44654088050316,Baby Boomers
535,1987,Undergraduate,Alone,81361.0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,2,2014,38,0,778,0,104.5771208226221,Millennials
5268,1960,Undergraduate,Partner,29440.0,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,8,2013,65,2,56,0,525.7142857142857,Baby Boomers
273,1970,Postgraduate,Partner,36138.0,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,7,2013,55,2,151,1,239.32450331125827,Gen X
4452,1957,Undergraduate,Alone,50388.0,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,5,2014,68,1,372,2,135.4516129032258,Baby Boomers
8504,1973,Undergraduate,Partner,79593.0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,5,2014,52,0,1366,1,58.26720351390922,Gen X
771,1967,Undergraduate,Partner,54178.0,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,1,2014,58,1,194,0,279.2680412371134,Gen X
11178,1972,Postgraduate,Alone,42394.0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,3,2014,53,1,32,0,1324.8125,Gen X
2230,1970,PhD,Partner,23626.0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,5,2014,55,1,43,0,549.4418604651163,Gen X
7516,1983,Undergraduate,Partner,30096.0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,5,2014,42,1,45,0,668.8,Millennials
7247,1960,Undergraduate,Alone,47916.0,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,11,2012,65,1,606,1,79.06930693069307,Baby Boomers
11100,1972,Undergraduate,Alone,51813.0,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,4,2013,53,2,63,0,822.4285714285714,Gen X
4646,1951,Postgraduate,Partner,78497.0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,12,2013,74,0,978,1,80.26278118609407,Baby Boomers
3037,1983,PhD,Partner,50150.0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0,6,2013,42,0,410,0,122.3170731707317,Millennials
1473,1960,Postgraduate,Alone,47823.0,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0,7,2013,65,1,72,0,664.2083333333334,Baby Boomers
1016,1959,PhD,Alone,34554.0,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0,3,2014,66,1,55,0,628.2545454545455,Baby Boomers
4518,1979,Undergraduate,Partner,85693.0,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0,4,2013,46,1,1169,0,73.30453378956373,Gen X
9370,1945,PhD,Partner,65846.0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0,5,2013,80,0,1120,0,58.79107142857143,Silent Generation
8908,1959,Undergraduate,Partner,87195.0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1,5,2014,66,0,1097,0,79.48495897903373,Baby Boomers
8373,1979,Undergraduate,Partner,24594.0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,12,2013,46,1,29,0,848.0689655172414,Gen X
7533,1964,Undergraduate,Partner,49096.0,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0,9,2013,61,2,187,0,262.54545454545456,Baby Boomers
2683,1969,Undergraduate,Partner,52413.0,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0,2,2013,56,2,910,0,57.596703296703296,Gen X
3629,1978,Undergraduate,Alone,38557.0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0,12,2012,47,1,145,0,265.9103448275862,Gen X
10991,1960,Postgraduate,Partner,89058.0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,12,2012,65,0,850,0,104.77411764705884,Baby Boomers
5077,1979,Undergraduate,Partner,77298.0,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0,11,2013,46,1,969,0,79.77089783281734,Gen X
7431,1991,PhD,Alone,68126.0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1,11,2012,34,0,1820,1,37.43186813186813,Millennials
3267,1963,Postgraduate,Partner,57288.0,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0,6,2014,62,1,608,1,94.22368421052632,Baby Boomers
999,1991,Undergraduate,Alone,86037.0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1,1,2013,34,0,730,2,117.85890410958903,Millennials
9215,1980,PhD,Partner,43974.0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0,12,2012,45,1,551,0,79.8076225045372,Gen X
2286,1962,Undergraduate,Alone,50785.0,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0,9,2013,63,2,114,0,445.4824561403509,Baby Boomers
1592,1970,Undergraduate,Partner,90765.0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0,1,2014,55,0,1724,2,52.64791183294663,Gen X
367,1978,Postgraduate,Partner,36550.0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0,2,2013,47,1,577,0,63.34488734835355,Gen X
5234,1967,Postgraduate,Partner,30753.0,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,7,2013,58,2,81,0,379.6666666666667,Gen X
9862,1969,Undergraduate,Partner,21918.0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0,11,2013,56,1,33,0,664.1818181818181,Gen X
9805,1953,Postgraduate,Partner,56129.0,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,6,2013,72,1,660,0,85.0439393939394,Baby Boomers
6205,1967,Postgraduate,Alone,32557.0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1,2,2014,58,1,80,0,406.9625,Gen X
8442,1985,Postgraduate,Partner,19510.0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0,9,2013,40,2,30,0,650.3333333333334,Millennials
7386,1976,Undergraduate,Alone,30992.0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0,4,2013,49,1,43,0,720.7441860465116,Gen X
7215,1983,Undergraduate,Alone,101970.0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1,3,2013,42,0,1135,3,89.84140969162996,Millennials
1491,1965,Postgraduate,Partner,71488.0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0,2,2013,60,0,559,0,127.88550983899822,Gen X
11071,1984,Undergraduate,Alone,79607.0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1,4,2013,41,0,1923,0,41.39729589183568,Millennials
3381,1953,Postgraduate,Partner,54348.0,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0,6,2014,72,2,90,0,603.8666666666667,Baby Boomers
11051,1956,PhD,Partner,77376.0,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0,5,2014,69,2,661,0,117.05900151285933,Baby Boomers
8026,1952,Undergraduate,Partner,62998.0,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0,9,2013,73,1,463,0,136.0647948164147,Baby Boomers
433,1958,Postgraduate,Alone,61331.0,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0,3,2013,67,2,632,0,97.04272151898734,Baby Boomers
9597,1969,Undergraduate,Partner,73448.0,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0,2,2014,56,0,725,0,101.30758620689654,Gen X
5290,1964,PhD,Partner,41551.0,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0,8,2013,61,2,279,0,148.92831541218638,Baby Boomers
1685,1967,PhD,Partner,62981.0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0,3,2013,58,0,1482,1,42.49730094466936,Gen X
5342,1976,Undergraduate,Alone,9548.0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0,8,2012,49,1,29,0,329.2413793103448,Gen X
9579,1959,PhD,Partner,33762.0,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0,7,2013,66,3,106,0,318.5094339622641,Baby Boomers
7660,1973,PhD,Alone,35860.0,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1,5,2014,52,2,49,1,731.8367346938776,Gen X
1461,1965,PhD,Alone,36921.0,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,7,2013,60,2,38,0,971.6052631578948,Gen X
821,1992,Postgraduate,Alone,92859.0,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0,10,2012,33,0,2077,0,44.708233028406354,Millennials
11084,1976,Postgraduate,Partner,65104.0,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1,11,2013,49,1,1053,0,61.82716049382716,Gen X
8690,1962,Undergraduate,Partner,86111.0,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0,4,2013,63,0,1385,0,62.17400722021661,Baby Boomers
2937,1974,PhD,Alone,68352.0,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0,8,2013,51,1,871,0,78.47531572904707,Gen X
9701,1988,Undergraduate,Partner,41883.0,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0,3,2013,37,1,312,0,134.2403846153846,Millennials
9949,1976,Undergraduate,Partner,59809.0,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0,10,2012,49,2,877,0,68.19726339794755,Gen X
10837,1975,Undergraduate,Partner,23957.0,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1,10,2012,50,1,68,0,352.30882352941177,Gen X
3120,1981,Undergraduate,Partner,38547.0,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,3,11,0,8,2013,44,1,22,0,1752.1363636363635,Millennials
5885,1973,Postgraduate,Partner,35688.0,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0,8,2012,52,3,211,0,169.13744075829385,Gen X
