Education,Marital_Status,Income,Recency,wines,fruits,meat,fist,sweets,golds,DealsPurchases,onlinePurchases,CatalogPurchases,StorePurchases,NumWebVisitsMonth,Age,Childrens,Spending-to-Income-Ratio,Cluster,Cluster_Category
Undergraduate,Partner,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,49,2,0.4816432092055698,1,Moderate Spenders
Undergraduate,Partner,38360.0,26,36,2,42,20,21,10,2,2,1,4,3,36,1,0.3415015641293013,0,Low Spenders
PhD,Partner,84618.0,96,684,100,801,21,66,0,1,6,9,10,2,60,0,1.97593892552412,1,Moderate Spenders
Postgraduate,Alone,10979.0,34,8,4,10,2,2,4,2,3,0,3,5,36,0,0.2732489297750251,0,Low Spenders
Postgraduate,Partner,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,62,0,0.8234075608493008,0,Low Spenders
Undergraduate,Partner,40548.0,31,110,0,5,2,0,3,2,2,1,4,5,55,1,0.2959455460195324,0,Low Spenders
PhD,Alone,46610.0,8,96,12,96,33,22,43,6,4,1,6,6,73,2,0.6479296288350139,0,Low Spenders
Postgraduate,Partner,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,79,0,1.741992804812328,1,Moderate Spenders
Postgraduate,Alone,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,74,2,0.1316082528498248,0,Low Spenders
PhD,Partner,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,55,1,1.3555446676465783,1,Moderate Spenders
Postgraduate,Partner,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,49,1,0.3415127751075132,0,Low Spenders
Undergraduate,Alone,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,52,1,0.1579108628532371,0,Low Spenders
PhD,Alone,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,82,0,1.8427719212225215,0,Low Spenders
Undergraduate,Partner,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,45,1,1.743510267338241,1,Moderate Spenders
Postgraduate,Partner,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,40,1,0.2577946398171117,0,Low Spenders
Undergraduate,Partner,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,68,1,0.1000272801673183,0,Low Spenders
Postgraduate,Partner,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,50,1,0.4133333333333333,0,Low Spenders
Undergraduate,Alone,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,49,0,1.2309077944984426,1,Moderate Spenders
Postgraduate,Partner,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,29,0,1.6266666666666665,0,Low Spenders
Undergraduate,Partner,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,57,1,0.131805981595092,0,Low Spenders
PhD,Partner,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,71,2,1.818056512749828,1,Moderate Spenders
Undergraduate,Alone,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,68,1,0.7742112818006902,1,Moderate Spenders
Postgraduate,Partner,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,61,0,2.1391658137801195,1,Moderate Spenders
Undergraduate,Alone,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,48,1,0.201173512154233,0,Low Spenders
Undergraduate,Alone,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,48,0,1.958053813179628,1,Moderate Spenders
Undergraduate,Partner,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,47,2,0.9130218612990222,1,Moderate Spenders
Postgraduate,Partner,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,70,0,2.375461254612546,1,Moderate Spenders
Undergraduate,Alone,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,59,0,1.5550528547242022,1,Moderate Spenders
Undergraduate,Alone,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,37,1,0.1038012742501252,0,Low Spenders
PhD,Partner,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,57,1,0.9257604460807092,1,Moderate Spenders
Postgraduate,Alone,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,43,0,1.8976734365308732,1,Moderate Spenders
Undergraduate,Partner,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,50,2,0.9181882285868604,1,Moderate Spenders
Undergraduate,Alone,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,73,1,1.4298885528039726,1,Moderate Spenders
PhD,Alone,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,74,1,0.8953900709219859,1,Moderate Spenders
Undergraduate,Partner,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,77,0,1.52265587411202,1,Moderate Spenders
Undergraduate,Partner,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,54,1,0.1321877065432914,0,Low Spenders
Undergraduate,Partner,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,58,2,0.0338732524481123,0,Low Spenders
Postgraduate,Alone,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,46,1,1.4445427126561898,1,Moderate Spenders
Undergraduate,Partner,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,67,1,0.9450619428042144,1,Moderate Spenders
Undergraduate,Partner,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,55,3,2.08672883212654,1,Moderate Spenders
Postgraduate,Partner,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,71,0,1.8704005015599112,1,Moderate Spenders
Undergraduate,Partner,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,66,1,1.327059402438837,1,Moderate Spenders
PhD,Partner,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,50,2,1.090201382131253,1,Moderate Spenders
Undergraduate,Partner,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,73,0,0.229422561061697,0,Low Spenders
Undergraduate,Alone,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,48,1,0.0323013467176862,0,Low Spenders
Postgraduate,Partner,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,53,0,2.511594530305245,1,Moderate Spenders
Undergraduate,Alone,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,49,0,2.913287174414771,1,Moderate Spenders
Postgraduate,Partner,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,49,0,0.0683734710932158,0,Low Spenders
Undergraduate,Partner,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,60,0,1.2347000678014488,1,Moderate Spenders
Undergraduate,Alone,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,40,1,0.5544354838709677,0,Low Spenders
Undergraduate,Partner,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,56,1,0.0608272506082725,0,Low Spenders
Postgraduate,Partner,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,52,1,0.3353283246317755,0,Low Spenders
Postgraduate,Partner,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,62,0,0.8234075608493008,0,Low Spenders
Undergraduate,Alone,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,38,0,0.9562321013753518,1,Moderate Spenders
Undergraduate,Partner,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,65,2,0.1902173913043478,0,Low Spenders
Postgraduate,Partner,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,55,2,0.417842714040622,0,Low Spenders
Undergraduate,Alone,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,68,1,0.7382710169087878,0,Low Spenders
Undergraduate,Partner,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,52,0,1.7162313268754792,1,Moderate Spenders
Undergraduate,Partner,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,58,1,0.3580789250249178,1,Moderate Spenders
Postgraduate,Alone,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,53,1,0.0754823795820163,0,Low Spenders
PhD,Partner,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,55,1,0.1820028781850503,0,Low Spenders
Undergraduate,Partner,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,42,1,0.1495215311004784,0,Low Spenders
Undergraduate,Alone,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,65,1,1.2647132481843226,0,Low Spenders
Undergraduate,Alone,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,53,2,0.1215911064790689,0,Low Spenders
Postgraduate,Partner,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,74,0,1.2459074869103277,1,Moderate Spenders
PhD,Partner,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,42,0,0.8175473579262214,0,Low Spenders
Postgraduate,Alone,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,65,1,0.1505551721974782,0,Low Spenders
PhD,Alone,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,66,1,0.1591711523991433,0,Low Spenders
Undergraduate,Partner,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,46,1,1.364172102738847,1,Moderate Spenders
PhD,Partner,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,80,0,1.7009385535947514,1,Moderate Spenders
Undergraduate,Partner,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,66,0,1.2580996616778484,1,Moderate Spenders
Undergraduate,Partner,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,46,1,0.1179149386029112,0,Low Spenders
Undergraduate,Partner,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,61,2,0.3808864265927978,0,Low Spenders
Undergraduate,Partner,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,56,2,1.7362104821322957,1,Moderate Spenders
Undergraduate,Alone,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,47,1,0.3760666026921181,0,Low Spenders
Postgraduate,Partner,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,65,0,0.954434188955512,1,Moderate Spenders
Undergraduate,Partner,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,46,1,1.25359000232865,1,Moderate Spenders
PhD,Alone,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,34,0,2.6715204180489094,1,Moderate Spenders
Postgraduate,Partner,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,62,1,1.0613042871107388,1,Moderate Spenders
Undergraduate,Alone,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,34,0,0.8484721689505678,1,Moderate Spenders
PhD,Partner,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,45,1,1.2530131441306225,0,Low Spenders
Undergraduate,Alone,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,63,2,0.2244757310229398,0,Low Spenders
Undergraduate,Partner,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,55,0,1.8994105657467084,1,Moderate Spenders
Postgraduate,Partner,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,47,1,1.5786593707250345,0,Low Spenders
Postgraduate,Partner,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,58,2,0.2633889376646181,0,Low Spenders
Undergraduate,Partner,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,56,1,0.1505611825896523,0,Low Spenders
Postgraduate,Partner,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,72,1,1.175862744748704,1,Moderate Spenders
Postgraduate,Alone,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,58,1,0.2457228860152962,0,Low Spenders
Postgraduate,Partner,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,40,2,0.1537672988211174,0,Low Spenders
Undergraduate,Alone,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,49,1,0.1387454827052142,0,Low Spenders
Undergraduate,Alone,101970.0,69,722,27,102,44,72,168,0,6,8,13,2,42,0,1.1130724722957734,1,Moderate Spenders
Postgraduate,Partner,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,60,0,0.781949418084154,1,Moderate Spenders
Undergraduate,Alone,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,41,0,2.4156167171228664,1,Moderate Spenders
Postgraduate,Partner,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,72,2,0.1655994700816957,1,Moderate Spenders
PhD,Partner,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,69,2,0.8542700578990903,1,Moderate Spenders
Undergraduate,Partner,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,73,1,0.7349439664751262,1,Moderate Spenders
Postgraduate,Alone,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,67,2,1.0304739854233584,1,Moderate Spenders
Undergraduate,Partner,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,56,0,0.9870929092691428,1,Moderate Spenders
PhD,Partner,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,61,2,0.6714639840196385,0,Low Spenders
PhD,Partner,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,58,0,2.3530906146298087,1,Moderate Spenders
Undergraduate,Alone,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,49,1,0.3037285295349812,0,Low Spenders
PhD,Partner,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,66,3,0.3139624429832356,0,Low Spenders
PhD,Alone,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,52,2,0.1366424986056887,0,Low Spenders
PhD,Alone,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,60,2,0.1029224560548197,0,Low Spenders
Postgraduate,Alone,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,33,0,2.2367244962793054,1,Moderate Spenders
Postgraduate,Partner,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,49,1,1.6174121405750796,1,Moderate Spenders
Undergraduate,Partner,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,63,0,1.6083891721150607,1,Moderate Spenders
PhD,Alone,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,51,1,1.2742860486891388,1,Moderate Spenders
Undergraduate,Partner,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,37,1,0.7449323114390086,0,Low Spenders
Undergraduate,Partner,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,49,2,1.466334498152452,1,Moderate Spenders
Undergraduate,Partner,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,50,1,0.2838418833743791,0,Low Spenders
Undergraduate,Partner,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,44,1,0.0570731833865151,0,Low Spenders
Postgraduate,Partner,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,52,3,0.5912351490697153,0,Low Spenders
Postgraduate,Partner,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,59,0,0.256022578369116,0,Low Spenders
Postgraduate,Partner,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,72,2,0.7733261448259595,1,Moderate Spenders
Undergraduate,Partner,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,56,1,0.6996516951343787,1,Moderate Spenders
Postgraduate,Partner,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,53,1,0.9256861729673744,0,Low Spenders
Undergraduate,Alone,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,37,1,0.2604166666666666,0,Low Spenders
PhD,Partner,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,73,1,1.6734961481724306,1,Moderate Spenders
Undergraduate,Partner,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,76,0,1.9907167156777952,1,Moderate Spenders
Undergraduate,Alone,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,67,1,0.6124041867632638,0,Low Spenders
Undergraduate,Alone,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,47,3,0.0299008289174238,1,Moderate Spenders
Undergraduate,Partner,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,48,1,0.29255079006772,1,Moderate Spenders
Undergraduate,Alone,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,70,0,1.532676768305589,1,Moderate Spenders
Postgraduate,Alone,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,67,3,0.0425908331422206,0,Low Spenders
PhD,Partner,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,80,0,2.424810961396328,1,Moderate Spenders
Undergraduate,Partner,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,41,1,0.5209230239366283,0,Low Spenders
PhD,Alone,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,50,0,1.74340996426886,1,Moderate Spenders
PhD,Partner,118350.5,98,20,2,1582,1,2,1,15,0,22,0,0,52,1,1.022621038774381,1,Moderate Spenders
Undergraduate,Partner,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,59,3,0.2023825950968217,0,Low Spenders
Undergraduate,Alone,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,72,0,0.6730507905549071,1,Moderate Spenders
Undergraduate,Alone,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,66,0,0.4949170679507758,1,Moderate Spenders
Undergraduate,Alone,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,37,0,1.6683843407865453,1,Moderate Spenders
Undergraduate,Partner,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,68,2,0.3411137940285922,0,Low Spenders
Undergraduate,Partner,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,60,2,0.1076040172166427,0,Low Spenders
Undergraduate,Partner,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,43,1,0.1984817884253778,0,Low Spenders
Undergraduate,Partner,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,55,2,0.2933772077626023,0,Low Spenders
PhD,Partner,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,66,2,0.1737116386797915,1,Moderate Spenders
Undergraduate,Alone,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,58,1,0.228520950954411,0,Low Spenders
PhD,Partner,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,50,1,2.2815721088689123,1,Moderate Spenders
PhD,Partner,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,77,0,1.5720982382480289,1,Moderate Spenders
PhD,Partner,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,55,2,0.1158211721102617,0,Low Spenders
Undergraduate,Partner,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,66,3,0.0261198902964607,0,Low Spenders
Postgraduate,Partner,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,74,0,1.2459074869103277,1,Moderate Spenders
PhD,Partner,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,49,1,0.3697967086156825,0,Low Spenders
Postgraduate,Partner,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,37,1,0.3508124076809453,0,Low Spenders
Postgraduate,Partner,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,79,0,1.5455973666492109,1,Moderate Spenders
Postgraduate,Partner,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,41,1,0.2165567477113889,0,Low Spenders
Undergraduate,Partner,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,64,0,0.1522177776204467,0,Low Spenders
Undergraduate,Partner,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,42,1,0.1978552490997586,0,Low Spenders
PhD,Alone,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,55,1,0.1207318205739405,0,Low Spenders
Undergraduate,Partner,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,59,1,0.9920699670397808,1,Moderate Spenders
Undergraduate,Partner,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,49,0,2.1345250310525463,1,Moderate Spenders
PhD,Partner,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,61,2,0.1486046460805524,0,Low Spenders
Undergraduate,Partner,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,47,1,0.3215175628968732,0,Low Spenders
PhD,Partner,66973.0,98,466,22,432,147,113,102,1,8,7,12,3,36,0,1.9142042315560004,1,Moderate Spenders
Postgraduate,Alone,36640.0,99,15,6,8,7,4,25,1,2,1,2,5,93,1,0.1774017467248908,0,Low Spenders
Undergraduate,Partner,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,37,1,0.2341016670096727,0,Low Spenders
Undergraduate,Partner,51148.0,38,235,6,45,8,9,12,4,5,1,6,6,52,2,0.6158598576679439,0,Low Spenders
Undergraduate,Partner,31353.0,24,10,0,10,3,1,7,2,1,1,2,8,48,2,0.0988741109303734,0,Low Spenders
Postgraduate,Partner,69661.0,80,656,16,106,32,16,8,1,7,3,12,3,45,0,1.1972265686682648,1,Moderate Spenders
Undergraduate,Partner,80067.0,82,519,17,813,27,173,51,1,4,6,6,2,71,0,1.9983264016386275,1,Moderate Spenders
Undergraduate,Partner,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,71,0,1.464517170598953,1,Moderate Spenders
PhD,Alone,46854.0,81,96,1,79,7,1,79,6,5,1,3,8,52,2,0.5613181371921288,0,Low Spenders
Undergraduate,Alone,69142.0,50,448,4,34,6,4,39,3,8,1,7,5,73,1,0.7737699227676376,1,Moderate Spenders
Undergraduate,Alone,75922.0,60,265,138,553,224,23,92,1,4,4,9,1,57,0,1.7056979531624563,1,Moderate Spenders
Undergraduate,Alone,63693.0,63,587,43,337,42,87,54,3,11,6,9,6,47,1,1.8055359301650105,1,Moderate Spenders
PhD,Partner,102160.0,54,763,29,138,76,176,58,0,7,9,10,4,48,0,1.2137823022709475,1,Moderate Spenders
PhD,Alone,40637.0,72,22,0,13,0,0,3,2,1,0,3,7,60,2,0.0935108398749907,0,Low Spenders
Postgraduate,Alone,18890.0,5,6,4,1,7,2,15,1,0,1,2,6,41,0,0.1852832186341979,0,Low Spenders
Undergraduate,Partner,29604.0,88,7,6,13,7,6,14,1,1,0,3,9,37,1,0.1790298608296176,0,Low Spenders
Postgraduate,Alone,48721.0,50,81,18,113,47,13,21,6,4,2,5,6,62,2,0.6013833870404959,0,Low Spenders
Undergraduate,Partner,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,59,1,0.1451087199178461,0,Low Spenders
Undergraduate,Alone,64497.0,17,1170,48,320,42,32,192,5,11,4,9,8,71,1,2.797029319193141,1,Moderate Spenders
Undergraduate,Partner,46097.0,11,72,24,68,65,4,8,5,3,1,6,4,69,1,0.5228105950495694,0,Low Spenders
Undergraduate,Partner,77972.0,18,613,22,319,33,102,12,1,4,6,9,1,71,0,1.4120453496126817,1,Moderate Spenders
PhD,Partner,44377.0,70,224,0,30,0,0,10,8,5,1,5,8,57,2,0.5949027649458052,0,Low Spenders
Postgraduate,Partner,46014.0,21,410,0,59,19,9,44,10,7,1,8,7,51,2,1.1757291259181988,0,Low Spenders
Undergraduate,Partner,70951.0,66,239,10,554,254,87,54,1,3,4,9,1,40,0,1.6884892390523036,1,Moderate Spenders
Undergraduate,Partner,41443.0,79,171,7,171,25,19,89,6,8,1,5,8,48,1,1.163043215983399,0,Low Spenders
Postgraduate,Alone,52195.0,2,12,0,4,0,0,1,1,1,0,2,8,47,3,0.0325701695564709,0,Low Spenders
Postgraduate,Partner,83790.0,81,1076,16,417,42,48,16,1,8,10,6,3,77,0,1.927437641723356,1,Moderate Spenders
Postgraduate,Alone,44551.0,24,182,4,33,0,0,66,2,4,1,5,7,71,1,0.639716280218177,0,Low Spenders
Undergraduate,Partner,69508.0,48,824,32,162,42,32,43,2,11,4,11,6,45,1,1.6329055648270705,1,Moderate Spenders
Postgraduate,Partner,45204.0,93,30,11,25,29,1,18,1,1,1,4,3,37,1,0.252190071675073,0,Low Spenders
Undergraduate,Partner,72460.0,56,377,10,540,80,30,10,1,3,5,7,1,56,0,1.4449351366271046,1,Moderate Spenders
PhD,Partner,77622.0,3,520,7,154,19,0,14,2,6,3,11,3,55,2,0.9198423127463864,1,Moderate Spenders
PhD,Partner,30732.0,44,155,1,25,0,1,3,4,4,1,4,8,45,1,0.6019783938565665,0,Low Spenders
Undergraduate,Alone,63887.0,38,897,23,207,15,11,92,5,9,6,12,6,63,1,1.9487532674879084,1,Moderate Spenders
Undergraduate,Partner,42011.0,46,131,0,16,2,1,39,4,3,1,4,8,47,1,0.4498821737164076,0,Low Spenders
Undergraduate,Partner,51369.0,84,297,7,79,0,11,182,2,8,2,4,8,49,1,1.1212988378204751,0,Low Spenders
Undergraduate,Alone,51537.0,27,787,20,204,0,0,92,3,2,2,11,8,73,1,2.140209946252207,0,Low Spenders
PhD,Partner,79930.0,72,792,86,740,67,51,17,1,3,5,8,2,53,0,2.193169022895033,1,Moderate Spenders
PhD,Partner,34320.0,66,4,1,9,3,0,0,1,1,0,2,8,39,1,0.0495337995337995,0,Low Spenders
Undergraduate,Alone,37070.0,30,231,7,137,4,15,39,9,5,1,8,7,59,2,1.1680604262206635,0,Low Spenders
Postgraduate,Alone,81975.0,2,983,76,184,180,138,27,1,6,3,4,7,63,1,1.9371759682830128,1,Moderate Spenders
